id_personne,nom_artiste,libelle_metier,note_artiste
16,Georgin François,graveur,graveur
16,Pellerin,imprimeur,"éditeur, imprimeur"
16,Pellerin,éditeur,"éditeur, imprimeur"
16,Pellerin,imprimeur,"éditeur, imprimeur"
11,Pellerin,éditeur,"éditeur, imprimeur"
12,Pellerin,éditeur,"éditeur, imprimeur"
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
11,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,imprimeur,"éditeur, imprimeur"
11,Pellerin,éditeur,"éditeur, imprimeur"
12,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
11,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
11,Pellerin,éditeur,"éditeur, imprimeur"
11,Letourmy JeanBaptiste,éditeur,éditeur
12,Letourmy JeanBaptiste,éditeur,éditeur
12,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
13,Letourmy JeanBaptiste,éditeur,éditeur
14,Letourmy JeanBaptiste,éditeur,éditeur
14,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
18,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
18,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
16,Georgin François,graveur,graveur
16,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
15,Pellerin,éditeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
14,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
13,Georgin François,graveur,graveur
14,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
13,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
14,Pellerin,imprimeur,"éditeur, imprimeur"
16,Pellerin,éditeur,"éditeur, imprimeur"
16,Georgin François,graveur,graveur
16,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Letourmy JeanBaptiste,éditeur,éditeur
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
13,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Letourmy JeanBaptiste,éditeur,éditeur
12,Letourmy JeanBaptiste,éditeur,éditeur
11,Letourmy JeanBaptiste,éditeur,éditeur
12,Letourmy JeanBaptiste,éditeur,éditeur
11,Letourmy JeanBaptiste,éditeur,éditeur
12,Letourmy JeanBaptiste,éditeur,éditeur
11,Letourmy JeanBaptiste,éditeur,éditeur
12,Letourmy JeanBaptiste,éditeur,éditeur
10,Letourmy JeanBaptiste,éditeur,éditeur
13,Letourmy JeanBaptiste,éditeur,éditeur
14,Letourmy JeanBaptiste,éditeur,éditeur
13,Georgin François,graveur,graveur
10,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
17,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
10,Georgin François,graveur,graveur
10,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Letourmy JeanBaptiste,éditeur,éditeur
9,Georgin François,graveur,graveur
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
9,Georgin François,graveur,graveur
9,Letourmy JeanBaptiste,éditeur,éditeur
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
11,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
12,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
14,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
13,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
18,Pellerin,imprimeur,"éditeur, imprimeur"
18,Pellerin,éditeur,"éditeur, imprimeur"
11,Pellerin,éditeur,"éditeur, imprimeur"
11,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,éditeur,"éditeur, imprimeur"
11,Pellerin,éditeur,"éditeur, imprimeur"
11,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,imprimeur,"éditeur, imprimeur"
12,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Thiebault JeanBaptiste,graveur,graveur
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
14,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,imprimeur,"éditeur, imprimeur"
15,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
13,Pellerin,imprimeur,"éditeur, imprimeur"
14,Pellerin,éditeur,"éditeur, imprimeur"
18,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
14,Letourmy JeanBaptiste,éditeur,éditeur
19,Letourmy JeanBaptiste,éditeur,éditeur
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
11,Georgin François,graveur,graveur
12,Georgin François,graveur,graveur
12,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
15,Georgin François,graveur,graveur
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
19,Georgin François,graveur,graveur
19,Letourmy JeanBaptiste,éditeur,éditeur
19,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
19,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
19,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Thiebault JeanBaptiste,graveur,graveur
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Georgin François,graveur,graveur
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Pellerin,imprimeur,"éditeur, imprimeur"
19,Pellerin,éditeur,"éditeur, imprimeur"
19,Letourmy JeanBaptiste,éditeur,éditeur
19,Thiebault JeanBaptiste,graveur,graveur
19,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
19,Lacour Jacques Stanislas Prosper Hubert,libraire,"imprimeur, libraire, éditeur"
19,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
19,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
19,Lacour Jacques Stanislas Prosper Hubert,libraire,"imprimeur, libraire, éditeur"
19,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
19,Thiébault JeanBaptiste,graveur,graveur
19,Letourmy JeanBaptiste,éditeur,éditeur
19,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
19,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
19,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
19,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Pellerin,imprimeur,"éditeur, imprimeur"
13,Pellerin,éditeur,"éditeur, imprimeur"
13,Georgin François,graveur,graveur
14,Georgin François,graveur,graveur
14,Pellerin,imprimeur,"éditeur, imprimeur"
